,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_rank,params_window_length,system_attrs_nsga2:generation,state
127,127,-0.8743574537757581,0.14081421561586677,2024-05-10 18:04:46.463153,2024-05-10 18:04:54.778862,0 days 00:00:08.315709,90,19,63,2,COMPLETE
128,128,0.16965362732661204,0.10582611248762228,2024-05-10 18:04:54.787262,2024-05-10 18:05:04.221882,0 days 00:00:09.434620,99,87,130,2,COMPLETE
129,129,-0.6356166633856597,0.1344879612247236,2024-05-10 18:05:04.229101,2024-05-10 18:05:10.900296,0 days 00:00:06.671195,41,88,205,2,COMPLETE
130,130,-0.2508969014800593,0.12980085255979187,2024-05-10 18:05:10.904283,2024-05-10 18:05:20.218631,0 days 00:00:09.314348,47,64,71,2,COMPLETE
131,131,0.20286827207953761,0.09957222158502252,2024-05-10 18:05:20.228854,2024-05-10 18:05:30.209999,0 days 00:00:09.981145,37,84,120,2,COMPLETE
132,132,-0.8649873767060035,0.16344788788928938,2024-05-10 18:05:30.216098,2024-05-10 18:05:36.700976,0 days 00:00:06.484878,95,129,189,2,COMPLETE
133,133,0.14682672573257965,0.10937467905751372,2024-05-10 18:05:36.704564,2024-05-10 18:05:47.709501,0 days 00:00:11.004937,72,40,49,2,COMPLETE
134,134,-1.3280453465071034,0.16939887118672986,2024-05-10 18:05:47.717418,2024-05-10 18:05:53.238653,0 days 00:00:05.521235,58,4,16,2,COMPLETE
135,135,-0.4390654819979535,0.13652515940084353,2024-05-10 18:05:53.250110,2024-05-10 18:06:04.418350,0 days 00:00:11.168240,90,4,33,2,COMPLETE
136,136,0.08272431211333811,0.1105923559143146,2024-05-10 18:06:04.421992,2024-05-10 18:06:12.267437,0 days 00:00:07.845445,90,46,47,2,COMPLETE
137,137,-0.1030674336211351,0.11620061496478722,2024-05-10 18:06:12.271492,2024-05-10 18:06:21.421479,0 days 00:00:09.149987,37,34,49,2,COMPLETE
138,138,0.1458154434131832,0.09962438576655319,2024-05-10 18:06:21.428555,2024-05-10 18:06:28.389210,0 days 00:00:06.960655,75,24,53,2,COMPLETE
139,139,-0.23537073406970416,0.12465520855756687,2024-05-10 18:06:28.399602,2024-05-10 18:06:33.282947,0 days 00:00:04.883345,83,3,57,2,COMPLETE
140,140,-4.7927056327011694,0.19626816872599198,2024-05-10 18:06:33.288530,2024-05-10 18:06:39.818214,0 days 00:00:06.529684,57,34,77,2,COMPLETE
141,141,0.35254711008560713,0.09163878173651768,2024-05-10 18:06:39.819687,2024-05-10 18:06:47.848968,0 days 00:00:08.029281,94,17,42,2,COMPLETE
142,142,-3.5979635799142313,0.18994542566789496,2024-05-10 18:06:47.860319,2024-05-10 18:06:56.259606,0 days 00:00:08.399287,6,98,124,2,COMPLETE
143,143,-6.720090696638354,0.2530196127224269,2024-05-10 18:06:56.267804,2024-05-10 18:07:01.135773,0 days 00:00:04.867969,31,104,181,2,COMPLETE
144,144,-0.260017269768002,0.1259252852678453,2024-05-10 18:07:01.138351,2024-05-10 18:07:12.309725,0 days 00:00:11.171374,48,77,175,2,COMPLETE
145,145,-0.8231751573465624,0.1473932953260049,2024-05-10 18:07:12.316912,2024-05-10 18:07:17.649665,0 days 00:00:05.332753,84,81,173,2,COMPLETE
146,146,-0.6304692194849334,0.15156021803936648,2024-05-10 18:07:17.654411,2024-05-10 18:07:26.432564,0 days 00:00:08.778153,78,32,203,2,COMPLETE
147,147,0.31472999481232794,0.09065478930813896,2024-05-10 18:07:26.435987,2024-05-10 18:07:37.508285,0 days 00:00:11.072298,62,11,128,2,COMPLETE
148,148,0.1321328574870701,0.11095361383065576,2024-05-10 18:07:37.519282,2024-05-10 18:07:49.841128,0 days 00:00:12.321846,90,92,108,2,COMPLETE
149,149,-0.6681530331628289,0.14547337780821995,2024-05-10 18:07:49.849044,2024-05-10 18:08:00.467961,0 days 00:00:10.618917,37,2,10,2,COMPLETE
150,150,0.35751501690295334,0.0901691082972378,2024-05-10 18:08:00.480519,2024-05-10 18:08:08.679948,0 days 00:00:08.199429,74,44,128,3,COMPLETE
151,151,-0.6610783889724143,0.1445613992265638,2024-05-10 18:08:08.679948,2024-05-10 18:08:15.658651,0 days 00:00:06.978703,59,48,189,3,COMPLETE
152,152,-1.0292181006200296,0.17016222244913787,2024-05-10 18:08:15.659682,2024-05-10 18:08:23.367310,0 days 00:00:07.707628,59,116,205,3,COMPLETE
153,153,-0.23477306585496419,0.12796397357558104,2024-05-10 18:08:23.369589,2024-05-10 18:08:34.027862,0 days 00:00:10.658273,26,128,189,3,COMPLETE
154,154,-0.25055147154307256,0.1257820739111232,2024-05-10 18:08:34.028859,2024-05-10 18:08:44.558952,0 days 00:00:10.530093,52,6,108,3,COMPLETE
155,155,0.050884068697871966,0.11482275590812747,2024-05-10 18:08:44.566111,2024-05-10 18:08:56.037694,0 days 00:00:11.471583,68,87,203,3,COMPLETE
156,156,0.2077260844844327,0.1014462633710785,2024-05-10 18:08:56.039690,2024-05-10 18:09:11.588019,0 days 00:00:15.548329,79,179,203,3,COMPLETE
157,157,-0.4283346892678628,0.13891309410410535,2024-05-10 18:09:11.589981,2024-05-10 18:09:21.118388,0 days 00:00:09.528407,96,28,202,3,COMPLETE
158,158,0.3484624883242679,0.0922194986778985,2024-05-10 18:09:21.122563,2024-05-10 18:09:32.819394,0 days 00:00:11.696831,75,89,93,3,COMPLETE
159,159,0.12565787372413062,0.11245000090519737,2024-05-10 18:09:32.829007,2024-05-10 18:09:44.690633,0 days 00:00:11.861626,56,104,130,3,COMPLETE
160,160,-0.7116860446999077,0.14970848992945393,2024-05-10 18:09:44.696083,2024-05-10 18:09:55.646067,0 days 00:00:10.949984,92,9,58,3,COMPLETE
161,161,0.2863192699064555,0.09754628981115869,2024-05-10 18:09:55.653141,2024-05-10 18:10:03.671262,0 days 00:00:08.018121,70,57,121,3,COMPLETE
162,162,-1.1586933682205252,0.15225317781167963,2024-05-10 18:10:03.675252,2024-05-10 18:10:09.137355,0 days 00:00:05.462103,41,40,47,3,COMPLETE
163,163,-0.29510361923246187,0.13173335708648595,2024-05-10 18:10:09.146565,2024-05-10 18:10:13.229751,0 days 00:00:04.083186,81,101,113,3,COMPLETE
164,164,-0.03198064690882143,0.11904023096399179,2024-05-10 18:10:13.232942,2024-05-10 18:10:19.363713,0 days 00:00:06.130771,62,67,121,3,COMPLETE
165,165,0.4035235935729292,0.08064473545648766,2024-05-10 18:10:19.371880,2024-05-10 18:10:33.128894,0 days 00:00:13.757014,30,22,146,3,COMPLETE
