,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_window_length,system_attrs_nsga2:generation,state
142,142,-7.02617754967893,5.660146252669137e-05,2024-05-16 12:35:33.956962,2024-05-16 12:35:35.967213,0 days 00:00:02.010251,28,213,2,COMPLETE
143,143,-4.305617813928379,4.471514112257958e-05,2024-05-16 12:35:35.981815,2024-05-16 12:35:37.849775,0 days 00:00:01.867960,11,180,2,COMPLETE
144,144,-20.68340372643916,9.353501748062231e-05,2024-05-16 12:35:37.852218,2024-05-16 12:35:40.580811,0 days 00:00:02.728593,84,19,2,COMPLETE
145,145,-18.50749809514608,8.828547657982369e-05,2024-05-16 12:35:40.587373,2024-05-16 12:35:42.971150,0 days 00:00:02.383777,60,175,2,COMPLETE
146,146,-14.320599561256646,7.927391934311682e-05,2024-05-16 12:35:42.978122,2024-05-16 12:35:45.022569,0 days 00:00:02.044447,51,130,2,COMPLETE
147,147,-4.466366810232498,4.517775543030283e-05,2024-05-16 12:35:45.026202,2024-05-16 12:35:47.027949,0 days 00:00:02.001747,12,71,2,COMPLETE
148,148,-18023.598893705723,0.0011578180297876126,2024-05-16 12:35:47.032756,2024-05-16 12:35:48.915379,0 days 00:00:01.882623,4,20,2,COMPLETE
149,149,-10.107230757043144,6.799033696626798e-05,2024-05-16 12:35:48.916531,2024-05-16 12:35:50.993869,0 days 00:00:02.077338,34,143,2,COMPLETE
150,150,-4.864203582097235,4.2930412896836754e-05,2024-05-16 12:35:50.995867,2024-05-16 12:35:53.057593,0 days 00:00:02.061726,18,106,3,COMPLETE
151,151,-5.8316195476078825,4.9961684584388734e-05,2024-05-16 12:35:53.059378,2024-05-16 12:35:54.992389,0 days 00:00:01.933011,14,187,3,COMPLETE
152,152,-19.327869273368748,9.185510269073746e-05,2024-05-16 12:35:55.007364,2024-05-16 12:35:57.365720,0 days 00:00:02.358356,62,99,3,COMPLETE
153,153,-3.7827320034406506,4.1646726625234903e-05,2024-05-16 12:35:57.370800,2024-05-16 12:35:59.556740,0 days 00:00:02.185940,15,54,3,COMPLETE
154,154,-4.452974141292945,4.513722859962594e-05,2024-05-16 12:35:59.560594,2024-05-16 12:36:01.520882,0 days 00:00:01.960288,3,24,3,COMPLETE
155,155,-4.524464170796693,4.5631733720214614e-05,2024-05-16 12:36:01.522044,2024-05-16 12:36:03.454955,0 days 00:00:01.932911,11,112,3,COMPLETE
156,156,-4.024292781054451,4.304238882342063e-05,2024-05-16 12:36:03.469434,2024-05-16 12:36:05.586608,0 days 00:00:02.117174,12,71,3,COMPLETE
157,157,-4.576430239460197,4.594184014285125e-05,2024-05-16 12:36:05.602230,2024-05-16 12:36:07.727712,0 days 00:00:02.125482,7,185,3,COMPLETE
158,158,-4.453690434353927,4.538270186256329e-05,2024-05-16 12:36:07.729688,2024-05-16 12:36:09.867800,0 days 00:00:02.138112,5,154,3,COMPLETE
159,159,-23.151276392233722,0.00010101847315846982,2024-05-16 12:36:09.869275,2024-05-16 12:36:12.438148,0 days 00:00:02.568873,67,8,3,COMPLETE
160,160,-201.93710682655555,0.00011439211745987799,2024-05-16 12:36:12.439145,2024-05-16 12:36:14.570942,0 days 00:00:02.131797,12,124,3,COMPLETE
161,161,-10.833916974446021,7.00196725348314e-05,2024-05-16 12:36:14.572901,2024-05-16 12:36:17.098899,0 days 00:00:02.525998,36,97,3,COMPLETE
162,162,-20.181283037642352,9.407430832353955e-05,2024-05-16 12:36:17.102013,2024-05-16 12:36:19.564779,0 days 00:00:02.462766,70,147,3,COMPLETE
163,163,-4.267968612537709,4.46767755818241e-05,2024-05-16 12:36:19.566379,2024-05-16 12:36:22.094955,0 days 00:00:02.528576,7,182,3,COMPLETE
