,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,system_attrs_nsga2:generation,state
122,122,-0.3097929557827176,0.13395797739844598,2024-05-16 07:26:24.783296,2024-05-16 07:26:26.072007,0 days 00:00:01.288711,17,0.0537154430481569,2,COMPLETE
123,123,-0.32001807169256546,0.13378481698371344,2024-05-16 07:26:26.073218,2024-05-16 07:26:28.362617,0 days 00:00:02.289399,99,0.21223895861643627,2,COMPLETE
124,124,-0.5176184088253659,0.12551155382907775,2024-05-16 07:26:28.364282,2024-05-16 07:26:31.668015,0 days 00:00:03.303733,43,0.5930034753753867,2,COMPLETE
125,125,-1.2341280061897812,0.1721955485091494,2024-05-16 07:26:31.670070,2024-05-16 07:26:32.924889,0 days 00:00:01.254819,93,0.08408428687857794,2,COMPLETE
126,126,-0.8411348468544124,0.14920628486335427,2024-05-16 07:26:32.928929,2024-05-16 07:26:35.923384,0 days 00:00:02.994455,91,0.17713021746196056,2,COMPLETE
127,127,-0.11205757654840606,0.1243007727987199,2024-05-16 07:26:35.928259,2024-05-16 07:26:38.670174,0 days 00:00:02.741915,97,0.6525245187238178,2,COMPLETE
128,128,-0.2492162103431384,0.13706247691601298,2024-05-16 07:26:38.672169,2024-05-16 07:26:40.281235,0 days 00:00:01.609066,79,0.8702690292445349,2,COMPLETE
129,129,-0.49082627064545736,0.14366362267398275,2024-05-16 07:26:40.283389,2024-05-16 07:26:41.724532,0 days 00:00:01.441143,71,0.4264594819034254,2,COMPLETE
130,130,-3.2409900577855297,0.203261285172033,2024-05-16 07:26:41.726758,2024-05-16 07:26:44.497869,0 days 00:00:02.771111,7,0.4258791341573479,2,COMPLETE
131,131,-1.9530596063584151,0.20029634097394533,2024-05-16 07:26:44.498928,2024-05-16 07:26:45.656501,0 days 00:00:01.157573,22,0.8984050547291652,2,COMPLETE
132,132,-2.2368011567993253,0.21501797562833871,2024-05-16 07:26:45.658806,2024-05-16 07:26:46.026975,0 days 00:00:00.368169,47,0.20309454867893773,2,COMPLETE
