,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,system_attrs_nsga2:generation,state
76,76,-0.36787554314948145,0.006003761957305159,2024-05-18 17:05:43.944950,2024-05-18 17:05:48.886360,0 days 00:00:04.941410,679,0.14738087926036092,0.7642941469656191,1,COMPLETE
77,77,-0.7284187967033428,0.006625565903391103,2024-05-18 17:05:48.886360,2024-05-18 17:05:52.500844,0 days 00:00:03.614484,523,0.5123777599152304,0.14025622568840745,1,COMPLETE
78,78,-1.1621563971200637,0.007504087613355931,2024-05-18 17:05:52.500844,2024-05-18 17:05:57.348673,0 days 00:00:04.847829,724,0.9504852818708827,0.907118080045155,1,COMPLETE
79,79,-0.5049525100666934,0.006229856216714041,2024-05-18 17:05:57.348673,2024-05-18 17:06:00.230904,0 days 00:00:02.882231,448,0.21932449846126045,0.2912480994604083,1,COMPLETE
80,80,-0.9313332696031912,0.006976581565175702,2024-05-18 17:06:00.246526,2024-05-18 17:06:05.967972,0 days 00:00:05.721446,927,0.5355906172391094,0.2912480994604083,1,COMPLETE
81,81,-0.15785493373478826,0.005518554419780764,2024-05-18 17:06:05.978757,2024-05-18 17:06:08.483499,0 days 00:00:02.504742,271,0.45165363142392556,0.7000598075042406,1,COMPLETE
82,82,-0.5119154792407168,0.006023686592975516,2024-05-18 17:06:08.483499,2024-05-18 17:06:13.930268,0 days 00:00:05.446769,805,0.3162048398573547,0.5185529383320543,1,COMPLETE
83,83,-2.273226767952015,0.009179683152517578,2024-05-18 17:06:13.930268,2024-05-18 17:06:15.897088,0 days 00:00:01.966820,52,0.03714141860103415,0.7571666721826962,1,COMPLETE
84,84,-0.8808115527117405,0.006930222659426449,2024-05-18 17:06:15.897088,2024-05-18 17:06:21.192646,0 days 00:00:05.295558,859,0.20200066503773495,0.03914172937828586,1,COMPLETE
85,85,-1.6117718795587865,0.008272036483313502,2024-05-18 17:06:21.192646,2024-05-18 17:06:23.504385,0 days 00:00:02.311739,148,0.6590506478223298,0.7258346605540001,1,COMPLETE
86,86,-1.1405180949444458,0.007382459079562344,2024-05-18 17:06:23.504385,2024-05-18 17:06:26.736297,0 days 00:00:03.231912,513,0.04367041053946974,0.1390401654120803,1,COMPLETE
87,87,-0.9879264669897809,0.007135841840896375,2024-05-18 17:06:26.736297,2024-05-18 17:06:28.785273,0 days 00:00:02.048976,98,0.6380058127844256,0.7249186449723967,1,COMPLETE
88,88,-0.5823614211843238,0.006397064680259729,2024-05-18 17:06:28.785273,2024-05-18 17:06:34.449535,0 days 00:00:05.664262,962,0.3289833145102581,0.1390401654120803,1,COMPLETE
89,89,-0.8062735450955458,0.006728469345600116,2024-05-18 17:06:34.449535,2024-05-18 17:06:40.063885,0 days 00:00:05.614350,812,0.10761787771646103,0.4126726928705424,1,COMPLETE
90,90,-0.5813280174330704,0.006573585107385477,2024-05-18 17:06:40.080527,2024-05-18 17:06:42.745754,0 days 00:00:02.665227,266,0.19301554304388446,0.17478299943473075,1,COMPLETE
91,91,-0.6541576465950667,0.00654020807519185,2024-05-18 17:06:42.745754,2024-05-18 17:06:45.577955,0 days 00:00:02.832201,407,0.5355906172391094,0.8125902106079902,1,COMPLETE
92,92,-0.42725637596761834,0.00604752911706877,2024-05-18 17:06:45.577955,2024-05-18 17:06:48.443410,0 days 00:00:02.865455,407,0.5170676549084444,0.303647775903668,1,COMPLETE
